#####################################################################################################
# _diffrn_sofware                                   Foxtrot 3.3.0 (2015-12-10 13:42:25)
# Sub_Ave_RNaseE_Sample_0036_1252-Ave_RNaseE_Buffer_0035_744
# sub-data
# B                                                 LIST
#####################################################################################################
q(A-1)              I(q)Sub_1253_Ave_RNaseE_Sample_0036_1252          Sig(q)Sub_1253_Ave_RNaseE_Sample_0036_1252        
0.0                 nan                                               nan                                               
0.000569874215813   nan                                               nan                                               
0.00113974842037    nan                                               nan                                               
0.0017096226024     nan                                               nan                                               
0.00227949675066    nan                                               nan                                               
0.00284937085388    nan                                               nan                                               
0.0034192449008     nan                                               nan                                               
0.00398911888017    nan                                               nan                                               
0.00455899278072    nan                                               nan                                               
0.00512886659119    nan                                               nan                                               
0.00569874030033    nan                                               nan                                               
0.00626861389688    0.0577994770654                                   0.00104361229731                                  
0.00683848736958    0.056782104928                                    0.00030557188658                                  
0.00740836070716    0.0554996492772                                   0.000199891952287                                 
0.00797823389837    0.0549669989066                                   0.000159908994155                                 
0.00854810693195    0.0537995847391                                   0.000135061071264                                 
0.00911797979663    0.053270251267                                    0.000117645328421                                 
0.00968785248117    0.0527633194593                                   0.000105774597589                                 
0.0102577249743     0.0514802983924                                   8.86570033079e-05                                 
0.0108275972648     0.0507873904969                                   7.81315154548e-05                                 
0.0113974693413     0.0504675700797                                   7.15619389916e-05                                 
0.0119673411927     0.0498453614659                                   6.63943310446e-05                                 
0.0125372128076     0.0491702385754                                   6.3246285999e-05                                  
0.0131070841748     0.048471575723                                    6.00753196752e-05                                 
0.013676955283      0.0480048015081                                   5.78374723521e-05                                 
0.014246826121      0.0471773888273                                   5.55112595578e-05                                 
0.0148166966775     0.0464053424843                                   5.34607470977e-05                                 
0.0153865669413     0.0455690598981                                   5.17826484493e-05                                 
0.0159564369011     0.0448662500725                                   4.99727502407e-05                                 
0.0165263065456     0.0440693120116                                   4.87757916799e-05                                 
0.0170961758637     0.0432484890324                                   4.73683629687e-05                                 
0.0176660448439     0.0425851363523                                   4.62093347246e-05                                 
0.0182359134751     0.0417178777171                                   4.49506421594e-05                                 
0.018805781746      0.0409214697063                                   4.37486022775e-05                                 
0.0193756496454     0.0401265867044                                   4.28706778261e-05                                 
0.0199455171619     0.039194919655                                    4.15753121976e-05                                 
0.0205153842844     0.0384742669128                                   4.07489573726e-05                                 
0.0210852510015     0.0376932935207                                   3.97848176113e-05                                 
0.0216551173021     0.0368574584022                                   3.8852582092e-05                                  
0.0222249831748     0.0362179537552                                   3.82596794371e-05                                 
0.0227948486084     0.0354235645281                                   3.72024933433e-05                                 
0.0233647135917     0.0347337065427                                   3.6472182438e-05                                  
0.0239345781133     0.0340108831239                                   3.5788673116e-05                                  
0.0245044421621     0.0332661330937                                   3.50025665303e-05                                 
0.0250743057267     0.0325911635433                                   3.44479962037e-05                                 
