0.875000E+00 0.204558E+05
0.880000E+00 0.201242E+05
0.885000E+00 0.198007E+05
0.890000E+00 0.194880E+05
0.895000E+00 0.191892E+05
0.900000E+00 0.189081E+05
0.905000E+00 0.186478E+05
0.910000E+00 0.184110E+05
0.915000E+00 0.182011E+05
0.920000E+00 0.180205E+05
0.925000E+00 0.178712E+05
0.930000E+00 0.177542E+05
0.935000E+00 0.176701E+05
0.940000E+00 0.176180E+05
0.945000E+00 0.175962E+05
0.950000E+00 0.176021E+05
0.955000E+00 0.176314E+05
0.960000E+00 0.176813E+05
0.965000E+00 0.177463E+05
0.970000E+00 0.178216E+05
0.975000E+00 0.179013E+05
0.980000E+00 0.179808E+05
0.985000E+00 0.180552E+05
0.990000E+00 0.181216E+05
0.995000E+00 0.181760E+05
