 27-May-2011       (david_102.dat - 1.0*Aver(david_101.dat,david_103.dat) /  5
david_102.da  Conc = .56E+01  N1 =    1  N2 = 2178
david_101.da  Conc = 0.0d+0   N1 =    1  N2 = 2178
david_103.da  Conc = 0.0d+0   N1 =    1  N2 = 2178
  4.007810E-02  0.264571E+02  0.223635E+00
  4.035170E-02  0.264549E+02  0.220475E+00
  4.062520E-02  0.260344E+02  0.224206E+00
  4.089870E-02  0.257588E+02  0.216089E+00
  4.117220E-02  0.257799E+02  0.217539E+00
  4.144570E-02  0.255450E+02  0.217298E+00
  4.171920E-02  0.251264E+02  0.213709E+00
  4.199270E-02  0.252010E+02  0.216103E+00
  4.226620E-02  0.252563E+02  0.213036E+00
  4.253970E-02  0.249872E+02  0.213947E+00
  4.281320E-02  0.246626E+02  0.210731E+00
  4.308670E-02  0.244336E+02  0.208741E+00
  4.336030E-02  0.242839E+02  0.209167E+00
  4.363380E-02  0.239590E+02  0.205285E+00
  4.390730E-02  0.239767E+02  0.208863E+00
  4.418080E-02  0.237682E+02  0.204253E+00
  4.445430E-02  0.237188E+02  0.202700E+00
  4.472780E-02  0.238112E+02  0.206413E+00
  4.500130E-02  0.233857E+02  0.200619E+00
  4.527480E-02  0.232366E+02  0.202986E+00
  4.554830E-02  0.229387E+02  0.198585E+00
  4.582180E-02  0.228421E+02  0.198170E+00
  4.609530E-02  0.227214E+02  0.199448E+00
  4.636880E-02  0.224176E+02  0.197821E+00
  4.664240E-02  0.221346E+02  0.195194E+00
  4.691590E-02  0.223652E+02  0.194689E+00
  4.718940E-02  0.219508E+02  0.194036E+00
  4.746290E-02  0.216580E+02  0.192800E+00
  4.773640E-02  0.216647E+02  0.192531E+00
  4.800990E-02  0.215059E+02  0.190269E+00
  4.828340E-02  0.214375E+02  0.189940E+00
  4.855690E-02  0.210309E+02  0.188959E+00
  4.883040E-02  0.211240E+02  0.188335E+00
  4.910390E-02  0.207654E+02  0.184614E+00
  4.937740E-02  0.204964E+02  0.184691E+00
  4.965090E-02  0.204197E+02  0.184345E+00
  4.992450E-02  0.204401E+02  0.184778E+00
  5.019800E-02  0.203810E+02  0.182364E+00
  5.047150E-02  0.201816E+02  0.183193E+00
  5.074500E-02  0.200888E+02  0.181206E+00
  5.101850E-02  0.196407E+02  0.179724E+00
  5.129200E-02  0.197951E+02  0.179359E+00
  5.156550E-02  0.194360E+02  0.176773E+00
  5.183900E-02  0.192420E+02  0.177231E+00
  5.211250E-02  0.192675E+02  0.177704E+00
  5.238600E-02  0.193658E+02  0.177820E+00
  5.265950E-02  0.188821E+02  0.174124E+00
  5.293310E-02  0.187569E+02  0.173399E+00
  5.320660E-02  0.186151E+02  0.172907E+00
  5.348010E-02  0.184218E+02  0.172356E+00
  5.375360E-02  0.184564E+02  0.171673E+00
  5.402710E-02  0.179673E+02  0.168928E+00
  5.430060E-02  0.180866E+02  0.169557E+00
  5.457410E-02  0.177823E+02  0.168941E+00
  5.484760E-02  0.177951E+02  0.167166E+00
  5.512110E-02  0.177090E+02  0.168613E+00
  5.539460E-02  0.176698E+02  0.166171E+00
  5.566810E-02  0.173408E+02  0.166689E+00
  5.594160E-02  0.172889E+02  0.163818E+00
  5.621520E-02  0.170422E+02  0.162520E+00
  5.648870E-02  0.171660E+02  0.165883E+00
  5.676220E-02  0.169918E+02  0.162270E+00
  5.703570E-02  0.166270E+02  0.162245E+00
  5.730920E-02  0.166947E+02  0.160685E+00
  5.758270E-02  0.162619E+02  0.156509E+00
  5.785620E-02  0.162680E+02  0.159733E+00
  5.812970E-02  0.157759E+02  0.154099E+00
  5.840320E-02  0.164008E+02  0.162066E+00
  5.867670E-02  0.158916E+02  0.155899E+00
  5.895020E-02  0.158423E+02  0.157257E+00
  5.922380E-02  0.157180E+02  0.157223E+00
  5.949730E-02  0.155720E+02  0.152285E+00
  5.977080E-02  0.155555E+02  0.155647E+00
  6.004430E-02  0.152462E+02  0.152449E+00
  6.031780E-02  0.154271E+02  0.154928E+00
  6.059130E-02  0.152181E+02  0.153963E+00
  6.086480E-02  0.150781E+02  0.153228E+00
  6.113830E-02  0.151145E+02  0.153706E+00
  6.141180E-02  0.149792E+02  0.152017E+00
  6.168530E-02  0.146256E+02  0.148375E+00
  6.195880E-02  0.143093E+02  0.146651E+00
  6.223230E-02  0.145662E+02  0.150759E+00
  6.250590E-02  0.145402E+02  0.151051E+00
  6.277940E-02  0.136948E+02  0.139010E+00
