      17       15       20       17       20       18       21       18
      19       30       18       14       14       13        6       17
      14       17       18       17       21       14       18       13
      19       14       12       20       14       13       13       11
      11       13       12       13       18       18       19       13
      15       17       18       11       21        8        9       14
      15       10       13       14       13       24        8       21
      16       14       19       20       13       16       13       11
      14       15       14       19       18       19       20       16
      19       23       27       14        8       15        7       11
      13        6        7       13        8       16        9       10
      13       17       22       21       14       16       15       19
      13        5        1        1        0        0        0        0
       0        0        2        0        1        4        6       28
      39       27       35       34       29       26       35       27
      33       40       41       44       35       30       29       45
      50       29       45       41       20       40       44       36
      32       30       30       19       25       39       38       35
      33       34       40       37       44       46       40       30
      38       37       32       40       30       31       27       35
      25       57       45       34       44       31       36       23
      27       40       39       37       37       36       34       22
      33       33       28       26       37       32       35       29
      39       25       34       34       36       33       36       43
      25       45       26       43       32       35       33       41
      27       22       29       35       33       24       33       37
      32       28       30       27       32       18       33       20
      34       23       29       25       36       29       33       38
      31        7        2        3        0        0        0        0
       0        0        1        2        1        2       10       37
      60       49       36       40       32       31       29       28
      45       46       44       45       38       44       36       50
      44       33       48       44       42       30       46       30
      32       28       44       38       37       40       47       46
      53       44       61       43       43       40       46       46
      51       44       47       45       39       43       47       56
      45       47       53       60       41       32       28       22
      30       38       45       50       51       38       50       48
      43       37       33       44       35       40       35       32
      45       32       33       39       31       45       42       38
      48       41       50       35       31       46       53       49
      39       38       30       23       39       39       32       31
      41       30       41       33       31       35       26       29
      23       32       28       40       39       30       42       56
      33       11        2        3        1        1        0        0
       0        0        1        2        3        1       12       30
      63       36       32       30       33       28       23       18
      26       31       32       32       36       39       48       57
      33       28       31       31       35       35       25       31
      33       29       34       20       34       37       54       38
      47       40       45       39       39       47       32       33
      33       23       38       25       41       37       39       46
      42       44       48       42       43       33       30       16
      26       27       36       46       35       38       46       37
      43       34       44       43       38       33       30       30
      37       32       40       35       31       30       32       29
      47       48       55       34       28       34       25       35
      22       26       23       27       28       28       31       31
      34       33       32       29       28       21       30       23
      22       16       19       27       25       34       27       34
      24       11        2        3        1        0        0        0
       0        0        1        2        2        6       14       32
      33       31       31       29       25       18       14       35
      32       28       30       31       34       32       26       36
      38       30       30       26       31       32       17       28
      29       28       17       26       26       35       34       41
      34       34       43       25       28       33       28       34
      33       28       21       31       41       31       27       33
      36       42       46       48       37       23       26       21
      18       31       38       40       27       35       34       33
      32       41       31       32       22       31       17       25
      35       27       35       43       34       35       36       29
      33       29       33       25       21       23       27       30
      20       28       27       21       28       26       26       27
      34       18       28       27       24       33       20       23
