Sample description: b1c
Sample: b1c  c= 1.0000 mg/ml  Code: b1c
Parent(s): b1c_avg481-496.dat b1c_avg400-430.dat
  4.173430e-02   9.648960e+01   3.655843e-01
  4.203890e-02   9.573660e+01   3.606637e-01
  4.234360e-02   9.543420e+01   3.650481e-01
  4.264820e-02   9.523400e+01   3.585072e-01
  4.295280e-02   9.450810e+01   3.605850e-01
  4.325740e-02   9.385530e+01   3.641244e-01
  4.356210e-02   9.437230e+01   3.719015e-01
  4.386670e-02   9.377730e+01   3.752202e-01
  4.417130e-02   9.340420e+01   3.710919e-01
  4.447600e-02   9.271360e+01   3.771133e-01
  4.478060e-02   9.200480e+01   3.714250e-01
  4.508520e-02   9.204930e+01   3.784663e-01
  4.538990e-02   9.145250e+01   3.753589e-01
  4.569450e-02   9.168020e+01   3.777048e-01
  4.599910e-02   9.084520e+01   3.774649e-01
  4.630370e-02   9.094140e+01   3.777527e-01
  4.660840e-02   8.934820e+01   3.786222e-01
  4.691300e-02   8.923670e+01   3.762075e-01
  4.721760e-02   8.924890e+01   3.779726e-01
  4.752230e-02   8.922600e+01   3.811143e-01
  4.782690e-02   8.836580e+01   3.785348e-01
  4.813150e-02   8.839710e+01   3.806071e-01
  4.843610e-02   8.806010e+01   3.759671e-01
  4.874080e-02   8.727080e+01   3.789309e-01
  4.904540e-02   8.607550e+01   3.761099e-01
  4.935000e-02   8.645520e+01   3.750991e-01
  4.965470e-02   8.656340e+01   3.804257e-01
  4.995930e-02   8.560240e+01   3.714513e-01
  5.026390e-02   8.529510e+01   3.756008e-01
  5.056860e-02   8.506890e+01   3.702692e-01
  5.087320e-02   8.457720e+01   3.704752e-01
  5.117780e-02   8.397660e+01   3.707836e-01
  5.148240e-02   8.320640e+01   3.700311e-01
  5.178710e-02   8.264850e+01   3.716850e-01
  5.209170e-02   8.308370e+01   3.627858e-01
  5.239630e-02   8.311630e+01   3.663506e-01
  5.270100e-02   8.240280e+01   3.698121e-01
  5.300560e-02   8.134540e+01   3.641268e-01
  5.331020e-02   8.098210e+01   3.666761e-01
  5.361490e-02   8.099870e+01   3.591025e-01
  5.391950e-02   8.094690e+01   3.652532e-01
  5.422410e-02   8.004950e+01   3.613820e-01
  5.452870e-02   7.983560e+01   3.564650e-01
  5.483340e-02   7.856340e+01   3.633206e-01
  5.513800e-02   7.887880e+01   3.567308e-01
  5.544260e-02   7.892050e+01   3.605412e-01
  5.574730e-02   7.792000e+01   3.531995e-01
  5.605190e-02   7.796120e+01   3.565617e-01
  5.635650e-02   7.728790e+01   3.530060e-01
  5.666110e-02   7.706750e+01   3.540401e-01
  5.696580e-02   7.640710e+01   3.554503e-01
  5.727040e-02   7.591490e+01   3.487934e-01
  5.757500e-02   7.592690e+01   3.522095e-01
  5.787970e-02   7.531610e+01   3.507007e-01
  5.818430e-02   7.494580e+01   3.491177e-01
  5.848890e-02   7.524540e+01   3.499344e-01
  5.879360e-02   7.459730e+01   3.451536e-01
  5.909820e-02   7.402620e+01   3.498465e-01
  5.940280e-02   7.348890e+01   3.444486e-01
  5.970740e-02   7.354990e+01   3.449182e-01
  6.001210e-02   7.293140e+01   3.456318e-01
  6.031670e-02   7.216460e+01   3.415000e-01
  6.062130e-02   7.206080e+01   3.446388e-01
  6.092600e-02   7.158260e+01   3.394092e-01
  6.123060e-02   7.186530e+01   3.407931e-01
  6.153520e-02   7.124380e+01   3.415796e-01
  6.183980e-02   7.080590e+01   3.374295e-01
  6.214450e-02   6.977420e+01   3.398434e-01
  6.244910e-02   7.066450e+01   3.364970e-01
  6.275370e-02   6.905760e+01   3.372665e-01
  6.305840e-02   6.908520e+01   3.380884e-01
  6.336300e-02   6.879450e+01   3.314132e-01
  6.366760e-02   6.798410e+01   3.349961e-01
  6.397230e-02   6.717440e+01   3.314364e-01
  6.427690e-02   6.744020e+01   3.338318e-01
  6.458150e-02   6.685030e+01   3.329284e-01
  6.488610e-02   6.675570e+01   3.301642e-01
  6.519080e-02   6.629970e+01   3.309077e-01
  6.549540e-02   6.595230e+01   3.268738e-01
  6.580000e-02   6.544810e+01   3.304253e-01
  6.610470e-02   6.488900e+01   3.266528e-01
  6.640930e-02   6.487900e+01   3.264337e-01
  6.671390e-02   6.457490e+01   3.258305e-01
  6.701860e-02   6.442740e+01   3.246932e-01
  6.732320e-02   6.317570e+01   3.257941e-01
  6.762780e-02   6.340590e+01   3.213838e-01
  6.793240e-02   6.307520e+01   3.231616e-01
  6.823710e-02   6.298820e+01   3.221681e-01
  6.854170e-02   6.209880e+01   3.197244e-01
  6.884630e-02   6.204230e+01   3.209824e-01
  6.915100e-02   6.160590e+01   3.179337e-01
  6.945560e-02   6.083550e+01   3.193596e-01
  6.976020e-02   6.065230e+01   3.167825e-01
  7.006480e-02   5.990390e+01   3.169272e-01
  7.036950e-02   5.969100e+01   3.186078e-01
  7.067410e-02   5.904080e+01   3.130715e-01
