sum_G03_4.tif
             q                I              Err   
     0.0049922870       0.16394759     0.0071046806
     0.0055796145       0.16092395     0.0033517376
     0.0061669418       0.16038243     0.0024516570
     0.0067542690       0.15806990     0.0021241523
     0.0073415960       0.15699854     0.0018042643
     0.0079289228       0.15349328     0.0016087243
     0.0085162495       0.15404798     0.0014307823
     0.0091035759       0.15346962     0.0013364779
     0.0096909021       0.15179070     0.0012384204
      0.010278228       0.15112626     0.0011999814
      0.010865554       0.15014186     0.0011605047
      0.011452879       0.14918597     0.0010976544
      0.012040204       0.14848278     0.0010872206
      0.012627529       0.14795039     0.0014368490
      0.013214854       0.14635715     0.0010163191
      0.013802178       0.14597207    0.00098240981
      0.014389502       0.14436130    0.00094552915
      0.014976825       0.14453176    0.00087987733
      0.015564148       0.14343851    0.00087403840
      0.016151471       0.14194357    0.00087236993
      0.016738793       0.14145305    0.00085683339
      0.017326115       0.13950759    0.00081668416
      0.017913437       0.13920870    0.00077960582
      0.018500758       0.13845991    0.00080159336
      0.019088078       0.13653301    0.00077573333
      0.019675398       0.13582665    0.00074453682
      0.020262718       0.13591924    0.00085654924
      0.020850037       0.13415931    0.00086598337
      0.021437355       0.13316194    0.00085736717
      0.022024673       0.13132768    0.00087163249
      0.022611991       0.13082423    0.00095480730
      0.023199308       0.13013752    0.00090847119
      0.023786624       0.12806172    0.00086538028
      0.024373940       0.12716056    0.00099449774
      0.024961255       0.12573211    0.00084179984
      0.025548569       0.12499694    0.00096682762
      0.026135883       0.12319010    0.00088934469
      0.026723197       0.12184082    0.00075080879
      0.027310509       0.12016155    0.00072713374
      0.027897821       0.11860875    0.00090222167
      0.028485132       0.11726169    0.00068293509
      0.029072443       0.11599338    0.00065941914
      0.029659752       0.11437135    0.00065110663
      0.030247061       0.11283256    0.00066138095
      0.030834370       0.11092926    0.00063235779
      0.031421677       0.10973170    0.00061276858
      0.032008984       0.10847041    0.00059857929
      0.032596290       0.10709675    0.00058529394
      0.033183595       0.10519384    0.00075705266
      0.033770899       0.10394506    0.00056938584
      0.034358202       0.10210185    0.00055928879
      0.034945505       0.10095015    0.00056510363
      0.035532806      0.099175484    0.00059850227
