Sample description: HEADER
Sample: HEADER  c= 0 mg/ml  Code: 
Parent(s): E:/Data/SAXS/SAXS_pin1/buffer019-021/avrg_002.dat E:/Data/SAXS/SAXS_pin1/buffer019-021/avrg_001.dat
 6.491228e-002  7.429744e+001  1.993517e-001
 6.536937e-002  7.375897e+001  2.005561e-001
 6.582646e-002  7.309137e+001  1.972538e-001
 6.628355e-002  7.279884e+001  1.924836e-001
 6.674063e-002  7.179755e+001  1.913803e-001
 6.719772e-002  7.128487e+001  1.931487e-001
 6.765480e-002  7.066338e+001  1.853080e-001
 6.811189e-002  7.047110e+001  1.885039e-001
 6.856897e-002  6.972936e+001  1.902978e-001
 6.902605e-002  6.917204e+001  1.933563e-001
 6.948314e-002  6.852855e+001  1.866268e-001
 6.994022e-002  6.849967e+001  1.884912e-001
 7.039730e-002  6.764961e+001  1.829809e-001
 7.085438e-002  6.727048e+001  1.868442e-001
 7.131145e-002  6.664080e+001  1.856764e-001
 7.176853e-002  6.620576e+001  1.824671e-001
 7.222561e-002  6.538255e+001  1.931423e-001
 7.268268e-002  6.527742e+001  1.852647e-001
 7.313976e-002  6.446095e+001  1.853138e-001
 7.359683e-002  6.425177e+001  1.826356e-001
 7.405390e-002  6.374822e+001  1.840897e-001
 7.451097e-002  6.306028e+001  1.858256e-001
 7.496804e-002  6.248811e+001  1.795539e-001
 7.542511e-002  6.210863e+001  1.794430e-001
 7.588218e-002  6.169050e+001  1.748918e-001
 7.633925e-002  6.053607e+001  1.825383e-001
 7.679632e-002  6.027931e+001  1.821949e-001
 7.725338e-002  6.013127e+001  1.751992e-001
 7.771045e-002  5.998499e+001  1.779846e-001
 7.816751e-002  5.887242e+001  1.761926e-001
 7.862457e-002  5.846871e+001  1.817445e-001
 7.908164e-002  5.812703e+001  1.764303e-001
 7.953870e-002  5.767801e+001  1.759955e-001
 7.999576e-002  5.744555e+001  1.794913e-001
 8.045282e-002  5.675846e+001  1.748799e-001
 8.090987e-002  5.618874e+001  1.771815e-001
 8.136693e-002  5.597589e+001  1.728499e-001
 8.182399e-002  5.536600e+001  1.719565e-001
 8.228104e-002  5.463508e+001  1.768346e-001
 8.273809e-002  5.429102e+001  1.721295e-001
 8.319515e-002  5.397103e+001  1.714902e-001
 8.365220e-002  5.370258e+001  1.693584e-001
 8.410925e-002  5.303071e+001  1.742435e-001
 8.456630e-002  5.276843e+001  1.737638e-001
 8.502335e-002  5.223675e+001  1.676234e-001
 8.548039e-002  5.211497e+001  1.693934e-001
 8.593744e-002  5.136872e+001  1.708683e-001
 8.639449e-002  5.078453e+001  1.680884e-001
 8.685153e-002  5.050470e+001  1.681561e-001
 8.730857e-002  5.015515e+001  1.657546e-001
 8.776561e-002  4.966755e+001  1.695780e-001
 8.822265e-002  4.914306e+001  1.670904e-001
 8.867969e-002  4.926861e+001  1.697266e-001
 8.913673e-002  4.804017e+001  1.638380e-001
 8.959377e-002  4.777040e+001  1.630202e-001
 9.005081e-002  4.762125e+001  1.667223e-001
 9.050784e-002  4.724494e+001  1.622300e-001
 9.096487e-002  4.669152e+001  1.667596e-001
 9.142191e-002  4.668366e+001  1.625300e-001
 9.187894e-002  4.601373e+001  1.655776e-001
 9.233597e-002  4.559467e+001  1.647537e-001
 9.279300e-002  4.549830e+001  1.599331e-001
 9.325003e-002  4.487012e+001  1.626347e-001
