Sample description: primus/qt temporary file
Sample: primus/qt tempo  c= 1.5 mg/ml  Code: tmp
Parent(s): /var/folders/my/9kqlz5zx61sd5jfjbtjhx37r0000gn/T/qt_temp.j38453 /var/folders/my/9kqlz5zx61sd5jfjbtjhx37r0000gn/T/qt_temp.K38453
  7.285970e-02   1.016060e+01   8.563595e-02
  7.335190e-02   1.006630e+01   8.611046e-02
  7.384420e-02   9.586300e+00   8.586072e-02
  7.433640e-02   9.807200e+00   8.798182e-02
  7.482870e-02   9.661400e+00   8.429063e-02
  7.532090e-02   9.556200e+00   8.658039e-02
  7.581310e-02   9.337300e+00   8.356143e-02
  7.630540e-02   9.344300e+00   8.535095e-02
  7.679760e-02   9.015700e+00   8.481100e-02
  7.728980e-02   9.016200e+00   8.416869e-02
  7.778210e-02   9.035600e+00   8.526870e-02
  7.827430e-02   8.785900e+00   8.362693e-02
  7.876650e-02   8.791800e+00   8.413111e-02
  7.925880e-02   8.437400e+00   8.203586e-02
  7.975100e-02   8.586300e+00   8.325933e-02
  8.024320e-02   8.482700e+00   8.458257e-02
  8.073540e-02   8.413900e+00   8.212483e-02
  8.122770e-02   8.294400e+00   8.326707e-02
  8.171990e-02   8.267300e+00   8.162254e-02
  8.221210e-02   8.088200e+00   8.319228e-02
  8.270430e-02   7.902200e+00   8.380496e-02
  8.319650e-02   7.746800e+00   8.065995e-02
  8.368880e-02   7.933200e+00   8.120615e-02
  8.418100e-02   7.522200e+00   8.120264e-02
  8.467320e-02   7.559900e+00   8.406213e-02
  8.516540e-02   7.524700e+00   8.281657e-02
  8.565760e-02   7.444100e+00   8.452407e-02
  8.614980e-02   7.332700e+00   8.561704e-02
  8.664200e-02   7.237700e+00   8.303073e-02
  8.713430e-02   7.165900e+00   8.472689e-02
  8.762650e-02   7.057200e+00   8.378752e-02
  8.811870e-02   7.064600e+00   8.513796e-02
  8.861090e-02   6.957300e+00   8.363776e-02
  8.910310e-02   6.907900e+00   8.347911e-02
