#q [nm^{-1}]	 Intensity [a.u.]
0.0020640600	0.00000000000
0.0041281100	0.00000000000
0.0061921700	0.00000000000
0.0082562200	0.00000000000
0.0103203000	0.00000000000
0.0123843000	0.00000000000
0.0144484000	0.00000000000
0.0165124000	0.00000000000
0.0185765000	0.00000000000
0.0206406000	0.00000000000
0.0227046000	0.00000000000
0.0247687000	0.00000000000
0.0268327000	0.00000000000
0.0288968000	0.00000000000
0.0309608000	0.00000000000
0.0330249000	0.00000000000
0.0350889000	0.00000000000
0.0371530000	0.00000000000
0.0392170000	0.00000000000
0.0412811000	0.00000280800
0.0433452000	0.00000367010
0.0454092000	0.00000415460
0.0474733000	0.00000314670
0.0495373000	0.00000351180
0.0516014000	0.00000315790
0.0536654000	0.00000383690
0.0557295000	0.00000413240
0.0577935000	0.00000393180
0.0598576000	0.00000284010
0.0619216000	0.00000389830
0.0639857000	0.00000342310
0.0660497000	0.00000363860
0.0681138000	0.00000401100
0.0701779000	0.00000340900
0.0722419000	0.00000343100
0.0743060000	0.00000362670
0.0763700000	0.00000340560
0.0784341000	0.00000349500
0.0804981000	0.00000327610
0.0825622000	0.00000320530
0.0846262000	0.00000333930
0.0866903000	0.00000371190
0.0887543000	0.00000342290
0.0908184000	0.00000369940
0.0928824000	0.00000355240
0.0949465000	0.00000344450
0.0970105000	0.00000350730
0.0990746000	0.00000337320
0.1011390000	0.00000365590
0.1032030000	0.00000342900
0.1052670000	0.00000329540
0.1073310000	0.00000321820
0.1093950000	0.00000345031
0.1114590000	0.00000324327
0.1135230000	0.00000340339
0.1155870000	0.00000336114
0.1176510000	0.00000343802
0.1197150000	0.00000317494
0.1217790000	0.00000342863
0.1238430000	0.00000336338
0.1259070000	0.00000333572
0.1279710000	0.00000341356
0.1300350000	0.00000333963
0.1320990000	0.00000352099
0.1341630000	0.00000366005
0.1362270000	0.00000337579
0.1382910000	0.00000346896
0.1403560000	0.00000345712
0.1424200000	0.00000357202
0.1444840000	0.00000341361
0.1465480000	0.00000341411
0.1486120000	0.00000336687
0.1506760000	0.00000332293
0.1527400000	0.00000328011
0.1548040000	0.00000327191
0.1568680000	0.00000337253
0.1589320000	0.00000339919
0.1609960000	0.00000341761
0.1630600000	0.00000336308
0.1651240000	0.00000342242
0.1671880000	0.00000335990
0.1692520000	0.00000342867
0.1713160000	0.00000326914
0.1733800000	0.00000336022
0.1754440000	0.00000333821
0.1775080000	0.00000340326
0.1795720000	0.00000343937
0.1816360000	0.00000333897
0.1837000000	0.00000334905
0.1857640000	0.00000330368
0.1878280000	0.00000339324
0.1898920000	0.00000332212
0.1919560000	0.00000329269
0.1940210000	0.00000328860
0.1960850000	0.00000342066
0.1981490000	0.00000327317
0.2002130000	0.00000334192
0.2022770000	0.00000342471
0.2043410000	0.00000333043
0.2064050000	0.00000330674
0.2084690000	0.00000344857
0.2105330000	0.00000325143
0.2125970000	0.00000324052
0.2146610000	0.00000339601
0.2167250000	0.00000333609
0.2187890000	0.00000321995
0.2208530000	0.00000325608
0.2229170000	0.00000331137
0.2249810000	0.00000334287
0.2270450000	0.00000323359
0.2291090000	0.00000327851
0.2311730000	0.00000329724
0.2332370000	0.00000323136
0.2353010000	0.00000327659
0.2373650000	0.00000325182
0.2394290000	0.00000325212
0.2414930000	0.00000334051
0.2435570000	0.00000325475
0.2456210000	0.00000327560
0.2476850000	0.00000332020
0.2497490000	0.00000333385
0.2518130000	0.00000328770
0.2538770000	0.00000326065
0.2559410000	0.00000329204
0.2580050000	0.00000325969
0.2600690000	0.00000322928
0.2621330000	0.00000332049
0.2641970000	0.00000324147
0.2662610000	0.00000328497
0.2683250000	0.00000317048
0.2703890000	0.00000330479
0.2724530000	0.00000324769
0.2745170000	0.00000321790
0.2765810000	0.00000322980
0.2786450000	0.00000321272
0.2807090000	0.00000326254
0.2827730000	0.00000323090
0.2848370000	0.00000315896
0.2869010000	0.00000321147
0.2889650000	0.00000323936
0.2910290000	0.00000318869
0.2930930000	0.00000323197
0.2951570000	0.00000316754
0.2972210000	0.00000315351
0.2992850000	0.00000321118
0.3013500000	0.00000317546
0.3034140000	0.00000321244
0.3054780000	0.00000321360
0.3075420000	0.00000312393
0.3096060000	0.00000322400
0.3116700000	0.00000314130
0.3137340000	0.00000319795
0.3157970000	0.00000315040
0.3178610000	0.00000313493
0.3199250000	0.00000320616
0.3219890000	0.00000313404
0.3240530000	0.00000317525
0.3261170000	0.00000320957
0.3281810000	0.00000316238
0.3302450000	0.00000317176
0.3323090000	0.00000312548
0.3343730000	0.00000314161
0.3364370000	0.00000311782
0.3385010000	0.00000311260
0.3405650000	0.00000314559
0.3426290000	0.00000309844
0.3446930000	0.00000313445
0.3467570000	0.00000314002
0.3488210000	0.00000310442
0.3508850000	0.00000312086
0.3529490000	0.00000311641
0.3550130000	0.00000305837
0.3570770000	0.00000310610
0.3591410000	0.00000305850
0.3612050000	0.00000314611
0.3632690000	0.00000315388
0.3653330000	0.00000305973
0.3673970000	0.00000309257
0.3694610000	0.00000303148
0.3715250000	0.00000306325
0.3735890000	0.00000306347
0.3756530000	0.00000302875
0.3777170000	0.00000305894
0.3797810000	0.00000301162
0.3818450000	0.00000302370
0.3839090000	0.00000301526
0.3859730000	0.00000304737
0.3880370000	0.00000301105
0.3901010000	0.00000296235
0.3921650000	0.00000301182
0.3942290000	0.00000295317
0.3962930000	0.00000302561
0.3983570000	0.00000299827
0.4004210000	0.00000301459
0.4024850000	0.00000305936
0.4045490000	0.00000305292
0.4066130000	0.00000295064
0.4086770000	0.00000302316
0.4107400000	0.00000296544
0.4128040000	0.00000298744
0.4148680000	0.00000304692
0.4169320000	0.00000296364
0.4189960000	0.00000299522
0.4210600000	0.00000294785
0.4231240000	0.00000298954
0.4251880000	0.00000295321
0.4272520000	0.00000297342
0.4293160000	0.00000294709
0.4313800000	0.00000292356
0.4334440000	0.00000298148
0.4355080000	0.00000297746
0.4375720000	0.00000300887
0.4396360000	0.00000289256
0.4417000000	0.00000299861
0.4437640000	0.00000295623
0.4458280000	0.00000292574
0.4478920000	0.00000298990
0.4499550000	0.00000292384
0.4520190000	0.00000289915
0.4540830000	0.00000290522
0.4561470000	0.00000290018
0.4582110000	0.00000287494
0.4602750000	0.00000297040
0.4623390000	0.00000290317
0.4644030000	0.00000288307
0.4664670000	0.00000291384
0.4685310000	0.00000289421
0.4705950000	0.00000284654
0.4726590000	0.00000291382
0.4747230000	0.00000290125
0.4767870000	0.00000288627
0.4788500000	0.00000291163
0.4809140000	0.00000286821
0.4829780000	0.00000285257
0.4850420000	0.00000282147
0.4871060000	0.00000281302
0.4891700000	0.00000284433
0.4912340000	0.00000282642
0.4932980000	0.00000282023
0.4953620000	0.00000283214
0.4974260000	0.00000282478
0.4994900000	0.00000282459
0.5015530000	0.00000281575
0.5036170000	0.00000285103
0.5056810000	0.00000286183
0.5077450000	0.00000282448
0.5098090000	0.00000280110
0.5118730000	0.00000276991
0.5139370000	0.00000277132
0.5160010000	0.00000271526
0.5180650000	0.00000277656
0.5201290000	0.00000276841
0.5221930000	0.00000283614
0.5242560000	0.00000273693
0.5263200000	0.00000278908
0.5283840000	0.00000271923
0.5304480000	0.00000281395
0.5325120000	0.00000280029
0.5345760000	0.00000277571
0.5366400000	0.00000284572
0.5387040000	0.00000286993
0.5407680000	0.00000275865
0.5428310000	0.00000279028
0.5448950000	0.00000278903
0.5469590000	0.00000278917
0.5490230000	0.00000271848
0.5510870000	0.00000272846
0.5531510000	0.00000265901
0.5552150000	0.00000265517
0.5572790000	0.00000271880
0.5593420000	0.00000269756
0.5614060000	0.00000261911
0.5634700000	0.00000271166
0.5655340000	0.00000258547
0.5675980000	0.00000259602
0.5696620000	0.00000264259
0.5717260000	0.00000266394
0.5737890000	0.00000267783
0.5758530000	0.00000252310
0.5779170000	0.00000261357
0.5799810000	0.00000265284
0.5820450000	0.00000262531
0.5841090000	0.00000269832
0.5861730000	0.00000262223
0.5882360000	0.00000255690
0.5903000000	0.00000254303
0.5923640000	0.00000265804
0.5944280000	0.00000262915
0.5964920000	0.00000264672
0.5985560000	0.00000259436
0.6006200000	0.00000254299
0.6026830000	0.00000263810
0.6047470000	0.00000256332
0.6068110000	0.00000260323
0.6088750000	0.00000254344
0.6109390000	0.00000259040
0.6130030000	0.00000253329
0.6150660000	0.00000250612
0.6171300000	0.00000254934
0.6191940000	0.00000256189
0.6212580000	0.00000258320
0.6233220000	0.00000253342
0.6253860000	0.00000262460
0.6274490000	0.00000263560
0.6295130000	0.00000243086
0.6315770000	0.00000254199
0.6336410000	0.00000248221
0.6357050000	0.00000260505
0.6377690000	0.00000253992
0.6398320000	0.00000251642
0.6418960000	0.00000254423
0.6439600000	0.00000251656
0.6460240000	0.00000258421
0.6480880000	0.00000240144
0.6501510000	0.00000243369
0.6522150000	0.00000248354
0.6542790000	0.00000243251
0.6563430000	0.00000250081
0.6584070000	0.00000244663
0.6604700000	0.00000245767
0.6625340000	0.00000248478
0.6645980000	0.00000248734
0.6666620000	0.00000240334
0.6687260000	0.00000243180
0.6707890000	0.00000235924
0.6728530000	0.00000243438
0.6749170000	0.00000246600
0.6769810000	0.00000237754
0.6790450000	0.00000236420
0.6811080000	0.00000237232
0.6831720000	0.00000236495
0.6852360000	0.00000233794
0.6873000000	0.00000234198
0.6893630000	0.00000239854
0.6914270000	0.00000239035
0.6934910000	0.00000239584
0.6955550000	0.00000238673
0.6976190000	0.00000237855
0.6996820000	0.00000234330
0.7017460000	0.00000235367
0.7038100000	0.00000237961
0.7058740000	0.00000229492
0.7079370000	0.00000223951
0.7100010000	0.00000234886
0.7120650000	0.00000236500
0.7141290000	0.00000230089
0.7161920000	0.00000225169
0.7182560000	0.00000234015
0.7203200000	0.00000223777
0.7223840000	0.00000233563
0.7244470000	0.00000220926
0.7265110000	0.00000230345
0.7285750000	0.00000225211
0.7306390000	0.00000228112
0.7327020000	0.00000217671
0.7347660000	0.00000226905
0.7368300000	0.00000229320
0.7388940000	0.00000230893
0.7409570000	0.00000229966
0.7430210000	0.00000225224
0.7450850000	0.00000223007
0.7471480000	0.00000220866
0.7492120000	0.00000225805
0.7512760000	0.00000216308
0.7533400000	0.00000222173
0.7554030000	0.00000220141
0.7574670000	0.00000224528
0.7595310000	0.00000221557
0.7615950000	0.00000223234
