0.1190 5.8463e-3 3.0370e-4  
0.1198 5.6181e-3 3.0371e-4  
0.1205 5.3734e-3 3.0088e-4  
0.1212 5.3962e-3 3.0093e-4  
0.1220 5.5193e-3 3.0141e-4  
0.1227 5.6539e-3 2.9988e-4  
0.1234 5.5890e-3 3.0022e-4  
0.1242 5.2794e-3 2.9749e-4  
0.1249 5.2530e-3 2.9850e-4  
0.1256 5.3845e-3 2.9883e-4  
0.1264 4.8263e-3 2.9657e-4  
0.1271 4.8401e-3 2.9804e-4  
0.1278 4.8532e-3 2.9467e-4  
0.1286 4.8183e-3 2.9605e-4  
0.1293 4.5831e-3 2.9416e-4  
0.1300 4.1827e-3 2.9529e-4  
0.1308 4.2063e-3 2.9268e-4  
0.1315 4.6231e-3 2.9427e-4  
0.1323 4.6461e-3 2.9375e-4  
0.1330 4.4264e-3 2.9281e-4  
0.1337 4.2036e-3 2.9110e-4  
0.1345 4.4470e-3 2.9155e-4  
0.1352 4.2035e-3 2.9175e-4  
0.1359 4.0717e-3 2.8857e-4  
0.1367 4.2066e-3 2.8969e-4  
0.1374 4.1546e-3 2.9026e-4  
0.1381 3.8046e-3 2.8807e-4  
0.1389 3.7000e-3 2.8704e-4  
0.1396 3.4651e-3 2.8664e-4  
0.1403 3.9914e-3 2.8737e-4  
0.1411 3.7485e-3 2.8752e-4  
0.1418 3.8069e-3 2.8580e-4  
0.1425 3.7206e-3 2.8597e-4  
0.1433 3.3658e-3 2.8428e-4  
0.1440 3.3981e-3 2.8463e-4  
0.1447 3.3033e-3 2.8469e-4  
0.1455 3.4093e-3 2.8321e-4  
0.1462 3.1890e-3 2.8416e-4  
0.1469 3.3621e-3 2.8134e-4  
0.1477 3.2095e-3 2.8155e-4  
0.1484 3.0931e-3 2.8170e-4  
0.1491 2.9728e-3 2.7956e-4  
0.1499 3.0331e-3 2.8274e-4  
0.1506 2.9911e-3 2.8032e-4  
0.1513 2.9021e-3 2.8031e-4  
0.1521 2.6448e-3 2.7812e-4  
0.1528 2.8191e-3 2.7768e-4  
0.1536 3.0166e-3 2.7940e-4  
0.1543 3.0101e-3 2.7842e-4  
0.1550 2.7185e-3 2.7823e-4  
0.1558 2.8566e-3 2.7627e-4  
0.1565 2.9929e-3 2.7555e-4  
0.1572 2.5168e-3 2.7678e-4  
0.1580 2.6444e-3 2.7584e-4  
0.1587 2.4672e-3 2.7439e-4  
0.1594 2.5411e-3 2.7497e-4  
0.1602 2.7422e-3 2.7462e-4  
0.1609 2.5841e-3 2.7395e-4  
0.1616 2.5199e-3 2.7234e-4  
0.1624 2.4412e-3 2.7300e-4  
0.1631 2.5855e-3 2.7384e-4  
0.1638 2.4013e-3 2.7339e-4  
0.1646 2.5433e-3 2.7168e-4  
0.1653 2.4058e-3 2.6983e-4  
0.1660 2.1444e-3 2.7188e-4  
0.1668 2.3213e-3 2.7064e-4  
0.1675 1.9830e-3 2.7172e-4  
0.1682 2.0119e-3 2.6915e-4  
0.1690 2.1664e-3 2.6971e-4  
0.1697 2.3694e-3 2.6942e-4  
0.1704 2.0161e-3 2.6828e-4  
0.1712 2.3468e-3 2.6772e-4  
0.1719 2.2453e-3 2.6899e-4  
0.1726 2.1776e-3 2.6741e-4  
0.1734 2.1074e-3 2.6811e-4  
0.1741 2.2282e-3 2.6532e-4  
0.1748 1.9634e-3 2.6703e-4  
0.1756 2.1056e-3 2.6656e-4  
0.1763 2.2134e-3 2.6580e-4  
0.1770 1.8818e-3 2.6591e-4  
0.1778 2.0216e-3 2.6288e-4  
0.1785 1.7746e-3 2.6483e-4  
0.1792 1.9607e-3 2.6457e-4  
0.1800 2.0393e-3 2.6367e-4  
0.1807 1.9871e-3 2.6275e-4  
0.1815 2.0806e-3 2.6319e-4  
0.1822 1.9296e-3 2.6305e-4  
0.1829 1.8049e-3 2.6152e-4  
0.1837 1.8528e-3 2.6063e-4  
0.1844 1.8551e-3 2.6231e-4  
0.1851 1.7452e-3 2.6229e-4  
0.1859 1.8465e-3 2.6079e-4  
0.1866 1.4768e-3 2.5996e-4  
0.1873 1.4411e-3 2.5971e-4  
0.1881 1.4507e-3 2.6075e-4  
0.1888 1.5309e-3 2.5986e-4  
0.1895 1.7590e-3 2.5821e-4  
0.1903 1.8588e-3 2.5880e-4  
