Sample description: HtrASnrefolded
Sample: HtrASnrefolded  c= 1.16 mg/ml  Code: 
  4.433530e-01   1.073611e-02   5.741333e-04
  4.461030e-01   1.066532e-02   5.773902e-04
  4.488530e-01   9.630740e-03   5.602709e-04
  4.516020e-01   9.900350e-03   5.647635e-04
  4.543520e-01   1.046189e-02   5.627045e-04
  4.571020e-01   9.903360e-03   5.625604e-04
  4.598520e-01   9.262450e-03   5.563636e-04
  4.626020e-01   8.547730e-03   5.430143e-04
  4.653510e-01   8.974380e-03   5.466249e-04
  4.681010e-01   8.883720e-03   5.426204e-04
  4.708510e-01   9.143820e-03   5.459996e-04
  4.736010e-01   8.310660e-03   5.377941e-04
  4.763500e-01   7.980880e-03   5.364581e-04
  4.791000e-01   8.371560e-03   5.392192e-04
  4.818500e-01   7.460730e-03   5.374028e-04
  4.846000e-01   8.151420e-03   5.506167e-04
  4.873490e-01   7.862838e-03   2.786640e-04
  4.900990e-01   7.219042e-03   2.772712e-04
  4.928490e-01   7.327094e-03   2.799364e-04
  4.955990e-01   6.635120e-03   2.765436e-04
  4.983480e-01   6.942779e-03   2.786482e-04
  5.010980e-01   6.897659e-03   2.787556e-04
  5.038480e-01   6.783209e-03   2.806552e-04
  5.065980e-01   6.621569e-03   2.805634e-04
  5.093470e-01   6.072761e-03   2.742559e-04
  5.120970e-01   6.140280e-03   2.788056e-04
  5.148470e-01   6.061358e-03   2.761075e-04
  5.175970e-01   5.530957e-03   2.773169e-04
  5.203460e-01   5.569642e-03   2.779727e-04
  5.230960e-01   5.779872e-03   2.744639e-04
  5.258460e-01   5.336656e-03   2.802135e-04
  5.285960e-01   5.031252e-03   2.736962e-04
  5.313460e-01   5.332282e-03   2.769333e-04
  5.340950e-01   5.236138e-03   2.755822e-04
  5.368450e-01   5.233351e-03   2.761532e-04
  5.395950e-01   4.909192e-03   2.680037e-04
  5.423450e-01   4.656247e-03   2.627550e-04
  5.450940e-01   4.680623e-03   2.617639e-04
  5.478440e-01   4.515927e-03   2.584947e-04
  5.505940e-01   4.816928e-03   2.613679e-04
  5.533440e-01   4.537174e-03   2.567451e-04
  5.560930e-01   4.480705e-03   2.544857e-04
  5.588430e-01   4.291611e-03   2.526628e-04
  5.615930e-01   3.797851e-03   2.475775e-04
  5.643430e-01   3.831691e-03   2.486316e-04
  5.670920e-01   3.690115e-03   2.485729e-04
