sum_G03_16.tif
             q                I              Err   
     0.0049922870      0.052755911     0.0077564800
     0.0055796145      0.050542448     0.0032220494
     0.0061669418      0.046966606     0.0021595719
     0.0067542690      0.045714433     0.0017039546
     0.0073415960      0.044197198     0.0014023397
     0.0079289228      0.042851101     0.0011947516
     0.0085162495      0.042430857     0.0011071735
     0.0091035759      0.041768046    0.00097983957
     0.0096909021      0.041007515    0.00092971743
      0.010278228      0.040273938    0.00087632667
      0.010865554      0.040551157    0.00085916622
      0.011452879      0.040221372    0.00085612203
      0.012040204      0.039664373    0.00078080818
      0.012627529      0.038751563    0.00090654957
      0.013214854      0.038990857    0.00072939559
      0.013802178      0.039387838    0.00068910652
      0.014389502      0.038553825    0.00068379945
      0.014976825      0.038095380    0.00063325421
      0.015564148      0.038128939    0.00064855597
      0.016151471      0.037542632    0.00063732110
      0.016738793      0.037430622    0.00065381274
      0.017326115      0.037121272    0.00061504859
      0.017913437      0.037127434    0.00059005484
      0.018500758      0.036526780    0.00060452753
      0.019088078      0.036115331    0.00056545150
      0.019675398      0.035524042    0.00056740592
      0.020262718      0.035705160    0.00057826760
      0.020850037      0.034949946    0.00059282672
      0.021437355      0.034997021    0.00061707420
      0.022024673      0.034544812    0.00061792223
      0.022611991      0.034311885    0.00063210228
      0.023199308      0.034081953    0.00062790597
      0.023786624      0.033508271    0.00060785609
      0.024373940      0.033643942    0.00065758690
      0.024961255      0.033039343    0.00058655993
      0.025548569      0.032525000    0.00060327781
      0.026135883      0.032244251    0.00059215260
      0.026723197      0.031935575    0.00052899320
      0.027310509      0.031532349    0.00049678968
      0.027897821      0.030788037    0.00058324400
      0.028485132      0.030596941    0.00047837371
      0.029072443      0.030484121    0.00048903795
      0.029659752      0.030124122    0.00047087134
      0.030247061      0.029531228    0.00046994403
      0.030834370      0.028946845    0.00045531104
      0.031421677      0.028683291    0.00044778152
      0.032008984      0.028188636    0.00044148418
      0.032596290      0.027799479    0.00044335863
      0.033183595      0.027591139    0.00050130716
      0.033770899      0.026686379    0.00041766152
      0.034358202      0.026647139    0.00041630374
      0.034945505      0.026414526    0.00040836789
      0.035532806      0.025844599    0.00042467968
      0.036120107      0.025518460    0.00040163851
      0.036707407      0.024934928    0.00039906227
      0.037294706      0.024716742    0.00040017779
      0.037882004      0.024166874    0.00040150524
      0.038469301      0.023705962    0.00041459375
      0.039056597      0.023505167    0.00041319715
      0.039643892      0.023266228    0.00041271639
      0.040231186      0.022644516    0.00039995960
      0.040818480      0.021843826    0.00039766375
      0.041405772      0.021422566    0.00039987195
      0.041993063      0.021245794    0.00039193541
      0.042580353      0.020993315    0.00038437585
      0.043167642      0.020376306    0.00036929299
      0.043754930      0.019796668    0.00036143464
      0.044342217      0.019835762    0.00035799357
      0.044929502      0.019187934    0.00035914307
      0.045516787      0.018778792    0.00036137216
      0.046104070      0.018325696    0.00035375158
      0.046691353      0.018014254    0.00033783125
      0.047278634      0.017596106    0.00033346188
      0.047865914      0.017272054    0.00033574699
      0.048453192      0.016790208    0.00033412662
      0.049040470      0.016520409    0.00032950957
      0.049627746      0.016070774    0.00032103501
      0.050215021      0.015687811    0.00031672827
      0.050802295      0.015251809    0.00031752203
      0.051389568      0.015125571    0.00030390526
      0.051976839      0.014571658    0.00030808845
      0.052564109      0.013933048    0.00031173677
      0.053151378      0.013732034    0.00030743510
      0.053738645      0.013585270    0.00029560647
      0.054325911      0.013050246    0.00029617230
      0.054913176      0.012597482    0.00029562081
      0.055500439      0.012354812    0.00029279328
      0.056087701      0.012082806    0.00029916035
      0.056674961      0.011763178    0.00029811275
      0.057262220      0.011391508    0.00027992071
      0.057849478      0.011130946    0.00028864463
      0.058436734      0.010777183    0.00027470994
      0.059023989      0.010589834    0.00029445788
      0.059611242      0.010209633    0.00026823191
      0.060198494      0.010025130    0.00027252186
      0.060785744     0.0095526901    0.00026779800
      0.061372993     0.0091353266    0.00027239545
      0.061960240     0.0090840380    0.00027415091
      0.062547486     0.0086208418    0.00026442985
