Sample description: primus/qt temporary file
Sample: primus/qt tempo  c= 0 mg/ml  Code: tmp
Parent(s): /data/lachlan/Data/JL15_SAXS_Jul2015/sec2/msub/SENDING/gi_0220.dat
  1.229230e-01   2.607910e-04   3.900799e-04
  1.237030e-01   4.441661e-04   3.990012e-04
  1.244830e-01   3.416488e-04   4.063517e-04
  1.252640e-01   2.387122e-04   3.937976e-04
  1.260440e-01   2.896267e-04   4.013792e-04
  1.268240e-01   1.453286e-04   4.074788e-04
  1.276040e-01   7.767133e-04   4.067281e-04
  1.283840e-01   3.441175e-04   4.079790e-04
  1.291650e-01   4.403451e-04   4.000903e-04
  1.299450e-01   1.803233e-04   4.072097e-04
  1.307250e-01   4.589325e-04   4.002619e-04
  1.315050e-01   8.093290e-05   3.930693e-04
  1.322850e-01   4.787738e-04   3.912285e-04
  1.330650e-01   2.254785e-04   3.911632e-04
  1.338460e-01   3.840018e-04   3.913660e-04
  1.346260e-01   1.920692e-04   3.948428e-04
  1.354060e-01   4.157449e-04   3.901901e-04
  1.361860e-01   5.139664e-04   3.954054e-04
  1.369660e-01   5.585083e-04   3.877536e-04
  1.377460e-01   6.188549e-04   3.917209e-04
  1.385260e-01   6.207191e-04   3.875693e-04
  1.393070e-01   3.653462e-04   3.932243e-04
  1.400870e-01   4.408229e-04   3.881953e-04
  1.408670e-01   2.888350e-04   3.831887e-04
  1.416470e-01   4.867346e-04   3.834139e-04
  1.424270e-01   5.204531e-04   3.789952e-04
  1.432070e-01   7.237259e-04   3.896597e-04
  1.439870e-01   1.857414e-04   3.809023e-04
  1.447670e-01   1.268046e-04   3.791522e-04
  1.455470e-01   4.035710e-04   3.862755e-04
  1.463270e-01   9.038406e-05   3.859976e-04
  1.471080e-01   3.156397e-04   3.907108e-04
  1.478880e-01   5.202366e-04   3.868654e-04
  1.486680e-01   3.358105e-04   3.737955e-04
  1.494480e-01   5.028104e-04   3.944714e-04
  1.502280e-01   3.198253e-04   3.708754e-04
  1.510080e-01   3.287758e-04   3.826095e-04
  1.517880e-01   6.719251e-04   3.764407e-04
  1.525680e-01   2.965141e-04   3.765586e-04
  1.533480e-01   5.688355e-05   3.736941e-04
  1.541280e-01   1.572334e-04   3.844123e-04
  1.549080e-01   3.762866e-04   3.717275e-04
  1.556880e-01   3.711552e-04   3.699969e-04
  1.564680e-01   3.728975e-05   3.723369e-04
  1.572480e-01   3.646149e-04   3.766805e-04
  1.580280e-01   4.699929e-04   3.727562e-04
  1.588080e-01   8.580487e-06   3.652779e-04
  1.595880e-01   2.991261e-04   3.702251e-04
  1.603680e-01   2.861644e-04   3.694889e-04
  1.611480e-01   1.215318e-04   3.672318e-04
  1.619280e-01   6.875680e-05   3.646831e-04
  1.627080e-01   7.525118e-05   3.684008e-04
  1.634880e-01  -4.006499e-05   3.721283e-04
  1.642680e-01   3.569455e-04   3.685997e-04
  1.650480e-01  -1.956016e-05   3.764845e-04
  1.658280e-01   9.437006e-05   3.782074e-04
  1.666070e-01   2.276732e-04   3.735235e-04
  1.673870e-01   2.293961e-04   3.951451e-04
  1.681670e-01   4.797663e-04   3.890835e-04
  1.689470e-01   3.674590e-05   3.807014e-04
  1.697270e-01   1.878230e-04   3.758518e-04
  1.705070e-01   1.576945e-04   3.814268e-04
  1.712870e-01   1.718252e-04   3.773328e-04
  1.720670e-01   2.346708e-04   3.922513e-04
  1.728470e-01   1.698684e-04   3.767332e-04
  1.736260e-01   2.553954e-04   3.937879e-04
  1.744060e-01   1.387718e-04   3.944158e-04
  1.751860e-01   6.197978e-05   3.846814e-04
  1.759660e-01   1.194297e-04   3.830531e-04
  1.767460e-01   4.631055e-04   4.044173e-04
  1.775260e-01   2.515052e-04   3.861536e-04
  1.783060e-01  -6.497536e-05   3.899805e-04
  1.790850e-01  -1.103368e-05   3.820645e-04
  1.798650e-01   2.292469e-05   3.946829e-04
  1.806450e-01   6.370747e-06   3.942832e-04
  1.814250e-01   1.011680e-04   3.855228e-04
  1.822050e-01  -8.764636e-05   3.852878e-04
  1.829840e-01   3.645232e-05   3.982368e-04
  1.837640e-01  -7.585871e-05   3.857890e-04
  1.845440e-01  -2.298640e-04   3.855101e-04
  1.853240e-01   4.384604e-05   3.849505e-04
  1.861040e-01   5.438228e-05   3.943544e-04
  1.868830e-01  -1.000906e-05   3.962965e-04
  1.876630e-01  -1.061580e-04   3.890221e-04
  1.884430e-01   4.873420e-05   3.881446e-04
  1.892230e-01   7.748939e-05   3.988745e-04
  1.900020e-01  -1.136284e-05   3.931668e-04
  1.907820e-01  -9.170567e-05   3.980067e-04
  1.915620e-01   1.913281e-04   3.999986e-04
  1.923410e-01   5.092971e-04   3.985303e-04
  1.931210e-01   2.538490e-04   4.032434e-04
  1.939010e-01   2.813977e-05   3.949325e-04
  1.946800e-01  -2.791844e-04   3.997324e-04
  1.954600e-01  -3.773162e-04   3.971799e-04
  1.962400e-01  -7.618260e-05   3.989017e-04
